Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
282,Southern Illinois,16,12,4,.750,8.20,-1.87,,4,1,,9,1,,2,2,,1202,1020,,640,410,859,.477,135,341,.396,247,327,.755,133,528,243,91,54,174,281
283,SIU Edwardsville,17,9,8,.529,-8.19,-3.83,,2,2,,7,1,,0,7,,1223,1192,,680,421,959,.439,125,350,.357,256,362,.707,183,581,202,113,74,180,275
284,Southern Indiana,18,5,13,.278,-13.22,-1.75,,2,3,,4,4,,1,9,,1200,1279,,725,422,1045,.404,116,376,.309,240,338,.710,186,683,222,113,64,254,358
285,Southern Methodist,15,10,5,.667,14.72,2.30,,1,1,,7,2,,2,2,,1118,925,,600,421,923,.456,107,313,.342,169,257,.658,205,613,236,125,76,185,256
286,Southern Mississippi,16,9,7,.563,-6.03,-2.82,,3,1,,5,1,,4,3,,1138,1130,,640,395,937,.422,98,304,.322,250,361,.693,183,599,196,124,74,191,281
287,Southern Utah,15,5,10,.333,-6.26,0.05,,0,4,,4,2,,0,8,,1151,1181,,605,410,941,.436,103,343,.300,228,319,.715,174,509,174,103,31,160,258
288,St. Bonaventure,14,10,4,.714,8.68,0.04,,1,1,,5,1,,3,1,,1035,914,,560,374,795,.470,115,307,.375,172,222,.775,141,472,185,90,53,157,228
289,St. John's (NY),16,12,4,.750,16.29,6.91,,4,1,,8,1,,2,1,,1272,1122,,640,470,1043,.451,120,345,.348,212,301,.704,249,652,254,110,81,192,287
290,St. Thomas,18,12,6,.667,0.80,-4.47,,2,1,,7,1,,4,4,,1308,1111,,720,466,1005,.464,169,468,.361,207,274,.755,159,586,268,107,45,175,291
291,Stanford,15,8,7,.533,8.26,5.00,,3,2,,6,2,,2,2,,1183,1134,,615,435,900,.483,140,363,.386,173,239,.724,114,530,275,83,46,200,242
292,Stephen F. Austin,16,10,6,.625,1.34,-3.38,,3,2,,5,2,,3,3,,1262,1111,,650,439,960,.457,107,322,.332,277,387,.716,219,625,222,164,51,289,361
